Region,Count
California,103972
Texas,98849
Florida,72138
Pennsylvania,40038
Ohio,38724
Georgia,38491
New York City,38223
Illinois,37289
Michigan,35015
New York,34460
Arizona,33941
New Jersey,28777
Tennessee,28754
North Carolina,22784
Alabama,22408
Virginia,22367
Indiana,22055
South Carolina,19551
Missouri,18812
Louisiana,18560
Kentucky,16236
Mississippi,16057
Oklahoma,15058
Wisconsin,14995
Colorado,14951
Maryland,13655
Massachusetts,13568
Washington,13159
Arkansas,12226
Minnesota,11192
Nevada,11007
Oregon,10797
Kansas,8987
New Mexico,8772
Connecticut,8605
Iowa,8176
West Virginia,6619
Utah,6167
Idaho,5298
Puerto Rico,4481
Nebraska,4347
Montana,4230
Maine,3115
South Dakota,2921
Delaware,2764
Rhode Island,2755
Wyoming,2320
Alaska,2007
New Hampshire,1981
North Dakota,1959
District of Columbia,1689
Vermont,1620
Hawaii,1313
