Region,Rate
Mississippi,555.3681365382998
Arizona,484.7233490251419
Alabama,461.3398260725569
New Mexico,429.3698011165882
Tennessee,428.89142275034584
Arkansas,418.8909004211821
South Carolina,415.94826533552805
Louisiana,408.071953946932
Wyoming,407.5575841941854
Montana,398.7179782794162
Oklahoma,396.20109649228044
Kentucky,376.356352073178
West Virginia,375.421750154428
Georgia,373.12680430041036
Texas,364.6702982157969
Nevada,363.78113350001
New York,361.86871415722857
Florida,351.19019070639513
Michigan,350.75755673798943
South Dakota,338.90964702644845
Ohio,337.71071324692474
Indiana,337.2176785653231
Missouri,322.75029720160137
Pennsylvania,312.5504702869404
Kansas,311.68733916974145
New Jersey,311.41154790281917
Illinois,295.8905469561463
Idaho,292.58781168676524
Delaware,289.0050790546574
Alaska,279.25076800778845
California,271.4689529673602
Colorado,266.9685405269468
Oregon,265.36041249336836
Virginia,264.3837443156626
Iowa,260.81622533318244
Wisconsin,260.27712897020183
Rhode Island,257.7960759227213
Vermont,256.1124095559319
North Dakota,252.3443897655482
Connecticut,243.57006098819062
District of Columbia,240.15836529885647
Maine,235.62071377661835
North Carolina,227.3025966656283
Nebraska,224.980423185474
Maryland,224.6802123413365
Minnesota,200.64859439088167
Utah,196.6612218548876
Massachusetts,196.14740828376782
Washington,180.81105672849569
New Hampshire,146.13122482357903
Puerto Rico,134.08913427599478
Hawaii,95.51485599589356
